X;Vigenere_r1;Vigenere_r5;Vigenere_r10;Affine;Uniform;Recursive
епарувіршн;жсвтхґйтьп;інівієзюид;вефлйчшумю;взкєбихєфй;лркжужщкоц;йпяонвпсєш
ацерковнор;кєрбшямюяб;хґїоґийуми;икььгйсюив;ьиаєґеютеє;бвшмзфзацб;ттіаіітатт
уськіймові;аюєфсуцшїс;еяйютщчбпт;гбмадуаумо;ошмьїврифї;иощигзґюфц;ьуриьєґілц
декудигруб;мнхбмскюбї;щлшхфбїбхр;ємхчжиюяєд;хрйбхавмбї;хвбжвфвіах;родушойюіз
ихалезовсі;алудщяжхіб;єівииеґґмл;азуьлхджрц;юґдіквяьрч;ьшоврухздш;їоьлїчеаее
мдалекихві;цлихмфрвїс;ущвюдсбчои;ївгсшхсєлг;ншїчоґіцхб;уфбсфркаюр;ххнзцвшьхт
дкощунства;кучдяцьюіз;дгсбюнихєж;уоуйцауькк;щкаіярепуь;фньяххїщфґ;удшашшуожц
незгадуючи;фймиєїьдбн;кящязвмоуп;шнушчштєгс;ітєґпдкомф;ожїмжциійс;ївкмьйиуау
провіршізі;тусдкуюкїк;пьвцзрдшаз;їєютґенжгї;щьшїсьдспс;ґеїуфоьєрг;сфїглоаоог
браніпокіі;щлшїекйзее;ьсюіилпїди;чжгуньжгґл;рлтсанпчаа;хтавлїїпчі;рєчбшщфрію
йнимдрагом;икєйвньалй;іангпомидь;шуцоґчїдча;кчщясїйютя;пґочєпібиа;зипщліцґьб
ановимщохо;бопгіньпцп;тїижндфиюх;пяштжфщгфщ;кєцпесґцчц;ютоябпауіі;єєксвухлєт
чпозаписув;яфукдфлцшє;гчянвшовюґ;оїпґшодщїл;хїюґиїоєвд;ктиєвйяяов;юшцсквмобп
аніввбезсу;ґслеедийхч;іжшлрїьцбж;зєуянїжбвю;нбшппоуцдє;буґлсжґнче;ірюомбновр
мнівупоста;фхпиючцщьж;ґґтжяєдяшз;шнажізсипл;восзлнбмяи;ґвхйдчрздп;фівйлшидлр
лищеввякіл;їєцгяящіжї;чґяюґкцнгн;знюшррщмьх;тжлиїїьефт;ибьєїгпгшй;сйбклщієох
юстраціюдо;шопньужшвл;хїїопрвсгґ;цґьшїгбшєу;южєзщгоюфі;нкваьчожпж;туївкмьйиу
слівлащевс;дяшпянйупд;ьбеимзлбит;оьмщшаизхн;лсхбсгєьбл;шйедяутбзь;нчідмсґхщс
ькогопробл;ямрдрстргн;чудізмщдзе;гщчнятжгєр;ахчгчішчвз;жзояьияхут;якйчєбжзнц
уднкомплем;льзеижієюж;ттесьлгґйш;пзипбюпихх;йґихдларял;длрдзжойґй;нцигймщїжр
ентсебтопр;дмсрдасноп;евогмбєкбь;ющпґфкзусі;ьпцоьуцчви;лжшрьвкхуі;яюьшхрїяіи
олюбовніпі;йицщйьїеке;ямуземогчя;лндхщцєфьп;яучгяшєтфт;ххрщїсгдуь;зуятсиюжек
сніівіршов;шфоозочвхз;леєбйдзфжй;ґхпнйьїйуб;ньаасаїпвс;гяіртїфрпо;цзвійфґшяч
аніоповіда;еунфхфжніе;якшрфняшєд;иухїтуігбл;нфедпдїесн;циєцєїгемо;рфівйлшидл
нняавторна;ззфхчкиїзх;оабоцубтвф;дпритспмшх;шшпкґгуйшк;яеґґбдґяеб;пїюижоціґл
водитьізод;гпеіуюїипе;їгєквєщіто;штфхфшунії;єдпесривдп;рлпнммїжеп;цзвійфґшяч
ногорукопи;тужухшпуфл;сюктюччщус;кщткґщзмею;лпхпчегпур;ніцсіюдодб;лесчлзфафф
сувіршубез;ійхбиойфщя;ругюючувцр;убяуешдвюз;ючгоанчдшт;ошжцводоих;йьиєнфжяєе
таланногок;ощіщййкяки;бфлззщзгче;ьануаьхгка;оєхєуутґтц;гюаїхґітаі;щцтлґпузяж
авалеращол;пспбхеплґб;ясуббпппґи;єячкхябгхц;чтчеїичґле;пґєзчжзшим;чунєфютрзщ
юбитьволоч;осьзнтдвдк;чвшзрюпадн;мшлньіугіґ;ціядзшгогф;цпдмнєйвзй;чмицгщяшчт
итисязачуж;кцкхгйґючї;шдвйщчмплд;бшвсчихкуж;нунешаїзєм;ющщьґґйуик;єуьрнґсхйд
имижінками;їоїийпмвої;яєгзоедцнн;оейзягвятю;щіщфльеґіщ;чрнтцаиуий;явбгґєіощк
ічастонаск;хжквгяюквш;єєиґскьиґй;їїігодсхмф;ігаетфжаец;рщсдлцяхкц;жгікхеюґве
акуєнапобо;ьірґкьмлюл;юлддєюраяж;хнґбґярфхт;ьядюуьшзмз;рїрчнаврпф;яюьшхрїяіи
їавторпомо;мґецтфутрт;нїібфхючшф;єьессїбтла;кіетячйяґя;йґкквшмщаз;дімчиґкоян
ємубезпідс;биншагйдял;сорщгусжао;мшгхеісмія;удфвхпялчш;лчцбеєпщяв;тюродушойю
тавнобачит;гкмюялкжфг;зфткпсфкєу;ичьщюпшдвж;мчжксбчоюм;вівшїбзорх;пшкзуятсию
ьутійпісні;мзжьядьєгь;іщбінананл;ряовмзуйдс;шгуїднїифї;гчсрейьякт;іаіітаттіа
оброблення;юкаюкшпььї;снрїтотнір;пфдйміукпж;йщлйщибїїч;едсьожззнч;жіпьмйщздк
темимоскал;грьфьявшкщ;щєпдфхтншу;злґюшбєйвя;люсчспмуґт;сцбшнвфздд;лфеьгаггез
ячарівника;фпхїгчзвех;зххжшїлввн;йипбдоїепт;хзлйґшикєл;хфтґцулщію;епхігкнюлй
віршамаєзс;елфяґрґійх;ічйцзхмаєь;тюадивіщьк;їеавшяшдтх;оучрткникк;ймщїжршлих
еютемоюдуж;вчовїкчбпґ;шеювяєекпф;їзмиисйгїм;лтблюстрщд;хкфмопбщхс;гчьфсїаїїф
емалоспіль;южхєийігєт;гйчштомдшб;гркїґцемчр;пщйшюбяфши;сжжхварбпа;жршлихвчщу
ногоподано;ьюмюяюойью;бкїзавбзжя;щеиацєтатї;ґоеояобьґо;дгєтогіфзк;цсквмобпре
невеличкий;дчучгюлвюб;уюсазмпаґє;мшфючсцшкн;ґцбцжониої;щащгїащкнл;пїюижоціґл
описпочаїв;мнжпнмхюиа;йбкгхйзґчж;вгюьцзисюб;ялгкляіжвє;цнєяфцосрв;бчштнеущпл
ськогобого;азцьльйьль;ещскагахял;зсюцбяйпви;ськогобого;шждюкмлінр;узяжєлтґць
гласникаав;гласникаав;пибфгцзбгс;йяциегдожч;юишмїдзшшь;вїюмїтхфур;йзтюродушо
вийменован;шгезяиішци;іюшпюценгз;яфжоігтеге;єкщічмсєьм;пениовюуяд;цигймщїжрш
оавторівпі;рвґфртйґсй;хюєерчзєгй;дміршжчпфл;чьґжчбпґкп;лбпюоюіїкм;схйдоужюеґ
сеньутійзб;ґтайедчщхн;дїґйденахм;дштцспєжюю;гзреієщґст;зіесцгоищь;ьґбдеіншїє
ірціякихна;шґишмючзбн;шцяйїюмюпй;увврнднїхб;йпбймґчлшв;злялґьуяїм;исюпнгруиа
звизаховал;еяєеьтляьї;йюпясщкіуг;чуфеочшхею;щмїщнсжмнц;шюзрцахґрк;увхчпйяїіу
исявакрост;аітхуґижії;гєвблєесрґ;епофихтлсш;єщозцесдщґ;жжчічсмзвт;іьждйоюмкь
ихахвдодат;юйсйуцецси;лзнфчивтяк;шихбцґюйвб;оьяьмхрхяс;ювимехьщтє;ґмргуцмзхб
кудосьогоп;очзтхбтєту;чйаяпижюян;їоунуєжахч;лаьбєхбґбк;втсєдґрмйь;спєцаццпїю
оданощепар;пебопьєрбс;бяхлнїаіюп;їєоюрюмеюл;мехамчтяхл;яппіцщїуум;щжґїмшіену
уіменавтор;мґзяицшлій;ушгїдапзфж;гїїежвяеог;бйжоєфтвеґ;хцймимкщнн;кчжвиїтбуф
івщосклада;пиґцщтужйж;зяуееїїчцо;свзюієґчїу;пюшефґсьмь;щмґіцбвуон;нхзбиісярп
лиабоперек;тнєжхцйчйс;йїфвзнжієд;умсщпобоно;ожсуфцашам;єжангрувґх;чмицгщяшчт
ладаливірш;їьвьїєяжнх;бймькщлтнч;аопфмйжмжі;щжлжщтфьгб;юрууєуибуж;оьлїчеаееї
іігімнинар;ссйсцчрчиь;фюрйсььбвх;пгьнвбсибг;ммемкєуєчп;еаьивґбхче;ьлїчеаееїо
уськоцерко;чхботьифот;шхмячюиеяч;ілихяьптив;юуцшіищпші;ешоущпцфно;рєчбшщфрію
внумовуоце;есчртечтьи;цкйзюцржпп;тлсяікчзюс;рікмеркеяа;цйвппасзчґ;цничґювавв
йвесьзміст;зювнцдїєно;номзгйясзш;прюаєлтепь;дмлгзещтгі;гхцанщсххґ;ізрщмїшєвз
працідпере;гґништгуґу;імардьлека;хрпакжжеаг;юуожщіюгуг;бцїибошґуч;хйдоужюеґи
тцанезнаєм;фшвпжіпвзо;мхбзжгмбяо;лвїєфншюая;їкбцґтцбсз;чхоуусєнґі;мицгщяшчтм
очомуогляд;цвцфюціуєй;ошлрфоґїге;зхдсрґкодш;бибяебпюлс;кдсазчишщх;шгюбяаяяюь
аючитівірш;ьшфєпжяжнх;іелюцтияжя;унжєчхмьфн;бяшіуїгїсщ;бґеїзєлцгв;нуєьґбдеін
івінлишивн;тйтшцсесйш;цшшлрхсчат;іхпркгфрзі;кукжсґпґуж;чйохцгпкїз;їіубфхмжфя
абоцівсете;ґдтьлехици;еушлюжиміц;ціофхбсоео;кфщихбцжгж;лквхьлсчцс;цчркблмюкї
щобулоопуб;цлюрїллмрю;иґліяяґаіо;шюмемзгреа;мчншаччкшн;змєриґйхсг;єбжзнцигйм
лікованевк;зджїщчіащж;юдтущмікєж;гфгхвцмюґи;рмпуєдтієп;їхрнхгмііш;шцсквмобпр
иевскойста;уплбчюцбвй;ицґжсоаузє;кзузнїсшве;гбяхдєсхзю;цґчпеащнис;рдхьтпжчвщ
ринечомуне;мейвукїпйв;ьиеівшмїтк;тіпкзібнгь;євтачедхта;лноакцюзжї;кифбхцоіщє
звернувува;тлпаьглглй;вґігімґшоч;їшелвкбццф;цежльаеаед;ащійиеатпи;еядґзйтвфц
гинавіршіі;дїпвґйтьйй;исчліоюдцр;юдязлаідшю;щїшжтпмепп;ьшпашуглчп;аппдфщрмгп
сторичного;йкиївпзиши;гїґпьзєґвд;їтрушфїоац;млпнчирпбп;пфеуаічхцр;ьюшцсквмоб
зміступоми;сшуабвюьшт;уїоддґлхац;зґхїєидрвп;трїшуодирн;їшжвапчбдґ;зжнхзбиіся
нувдужецік;кряврдгужі;ошзіщзіанр;ошуяиєфґдс;оелзегщаьф;жтшщншофдр;цоіщєгийуг
авувіршузп;жиюипшгюнч;паокнецосх;жпнґаихжяп;шкякнрьяюч;жжсежчоежс;щючхпіьждй
ершоїполов;вмфкжлкікю;тщґаувчфай;їаизкєпящп;ґациєдихиф;цабюмочсшш;лґпузяжєлт
инивопублі;жлжамнсяйз;піиютшнбіл;мїпвююогжк;щьщзмвїухл;ахщїячнмвя;кзуятсиюже
кованубіло;ювпнбєошяв;ждуяенсякє;нїьхмоімоо;онсдзфйчцн;цеуффягнтб;нзцвшьхткг
зерськимпі;фсвгїщхюбц;звтвбкеоал;узїчагїгїж;йшфпєсжіщг;дцєлггрзьн;юаюющчунєф
дзаголовко;учосгагряг;мїряуцстиу;хіяйязшйжт;оюишпбпаеп;цоврйчжзбн;йзтюродушо
мляментлюд;срґсітчрги;чтсгншщґом;шьшавщятуп;ходхсябоюк;ибчуцуещюм;мічдяґгєин
ейпобожнхщ;мущшішочве;зтєессндйм;сгіюфжнзсг;ґжвхрхфлщг;мґнтйрфотч;сжщґаґґжїр
осясталовл;тхгхцґптеп;скґолгжуяж;ецчфуєшігт;гьжьшезгвз;кнбзкдиафь;єюдгжіпьмй
итовскойзе;оьцищтцснк;кщооеохйхф;трляяцяущн;ґхоуліобчь;ічйфилйґсе;юпнгруиаии
млітіннута;вбьжьггзжп;чйкнашлцнт;изєдсфтїзу;юедмдуужмч;юшмкиїзеач;уґчюхулдрх
небудемосп;рзґцжзпсфт;орзцщєьцфи;ґпімкгбтцм;ітфвщтоґмь;гщґщбтнцгя;зрщмїшєвзі
еречатисяз;свсзлґхгкф;чяфмритесщ;рсуозжєгфж;ьюьленвфйз;імаежіїдуп;иуаууйгмпв
авторомзат;кмгябяьукг;аьрудоієдє;жпундчугуд;мїдйзйнюмд;ищюїрвзння;яяюьшхрїяі
ечогонезро;гфлалкгенл;яґйхєимґзє;лжялмпєшщв;жрщіщпждмщ;ррпшєнгнфз;сєшвьящшфп
биваможейн;азбялнєдїм;нббїцбядхч;шрауємтїеж;итцчпоуфґв;ьгґтвцппїп;ваввґеимцз
емігзробит;шдахюзєуяі;свлбквґджч;хґмкгееяип;вбоядчкпшє;жцбггзщчую;ивїкцєаєєк
иаподякуєм;чнгвтмюєфа;цйьфдлчбйм;їетщтчцгмр;оіснюєбґез;цнккхтбйеє;ихвчщупзшґ
ойомузатещ;тнтрчйґциа;ргєкюіуіґґ;тліпрнснцк;тстлуєхгйі;маґужєіуюц;тфйґнсдцюф
озробивічи;заізхбцвоб;ілацщгжфвд;одшьргмчич;зїбзіжєґеж;ллкршохйеж;єзмхжажжмф
мвияснивдл;нгіатоігем;рткемсьеїи;ґуєіащпаґй;хчєощеєчгі;нєеєпешхєк;етшнїщжґїм
явсіхбудущ;юбрифатґтш;іьгпшйорюя;бучмєієшює;сгялпюзозе;хедцуцесли;ьлїчеаееїо
ихісторикі;іцїтупсілї;нмсйтхіреі;ьґлїеяцййд;жртьісмжют;швщлтїбшеу;хгшюцфнжха
вукраїнськ;лгчайхьбич;хйоіавєхск;уґктхаайкб;лаьсєтзхшь;зньдткшьйщ;нтешбщьцум
оїлітерату;фосншїцешщ;рхаєажаооб;їяббукуалп;ьофмдебчдє;гґзкішкеїш;гуцмзхбцчр
риважність;вхнлуяцгґї;яфтслщхжиґ;бєюлпідоін;іонхцукєгґ;ґфчжийздхе;фозчгьаььч
українсько;нжкчеілфжї;йґєрхєінбю;пвтбютгліш;щудиєкйпут;нуцреєухію;гптжьдвєзм
говіршотво;ґпгїсщпугп;еьюннюьожл;ядлїякдгьт;тйдцкойлдй;йяяйгпзціс;ріюзємуещв
рстватемап;еєжспжхвпд;гєочцдхїхї;воаєгаеабі;хажйьжїцьн;йржднїлцґц;аюющчунєфю
орушенадпе;фцщбїуеіхї;акгйвячоґв;дшбььіґлрх;рчстіауфєі;юьпжбччйца;щяшчтмдсцк
ретцомщеда;узхщспязжг;чюдщиустжх;мщєеґбасюю;пягґвойяєк;щоокжудфуг;ґотєщгявбг
леконевиче;уктцхкиовк;лбйфбеьзау;єїчцхйфупх;асшлисбжчс;щсуушмбцкт;фхмжфяутїб
рпанаалепр;дґовооафґд;урйвзгмпґщ;счєуункгрі;фижлжжрциф;цжаьхнієюо;пдфщрмгптж
ацяйогопок;пїояґтґдґа;тжвшахатащ;єрьсєршхзн;цєшаурусую;стьпкхчґце;хкерцйепхі
азуєочевид;мхеубитоцс;псюодйоисх;яиттлреєґм;щвґьжкібсх;ифяґнзпнив;убфхмжфяут
нощосистем;чшешюрюямц;гьіґхщаґхр;пехжюуягиь;ьбїбйвйнпц;иивуєлггоє;пєцаццпїюи
атичнезібр;нечібуцшоґ;ьмобкггпжн;исчьреушїй;уїерґцібот;шууммдчецн;згїлчзгїлч
анняіопубл;дттґмуфшер;ющнцнмюушс;езсщттуіоґ;вшшмйкаису;оубщтртмзб;юваввґеимц
ікуванняпа;зїсаюлльню;ацкччещуіч;чждєясазая;хєпйгттюяг;фжвяржґрчщ;епхігкнюлй
мятокукраї;ялдбьеьгмш;ашьєвєишта;щхюящийзид;ьцїйкркщбю;ашиокгєєнщ;туївкмьйиу
нськоговір;цьеучїчірщ;нхщрлгтбнн;ґзесаогоєр;цшмжипивуі;ьусїцчнхмм;крбстиязжн
шарствавна;диьюяїиїчи;чщнкнбщяиш;нїтажбґьрд;ющскєлщлзщ;гяіжпарчюю;щгявбгґєіо
лежитьдопи;сїкмшгіфхм;щєїдміеткґ;цмцдусьфяґ;олбрвїтьур;еоацїчфафі;епхігкнюлй
льнихпосту;дрєалзжіїй;вмкяшеґоіц;рєцьучьїгб;їчкєтмлопр;лжцфііїкта;тбуфкдпфиб
латівнауки;чїбукщївцт;ґеіамееїгф;явґюинєоьє;штіагзтосц;схццаайядб;тмдсцкєсшм
ізнаукових;бяєуйґжхал;зіисжїршюи;риґяотяпшп;чиїмьгґавк;ащбххмсрес;ґикфдщбьюш
екскурсійп;шгигїзиавж;лцпюїщазьж;хуїкнжцррс;иьюьгїюеіц;пйєуйоґччь;жгікхеюґве
окраюіліто;снугбкокхс;нфпиїихияя;шпаюшаашро;нслвґфрфйн;веуіаншлжг;ощкифбхцоі
мрвідбувяе;чюйтмїбйин;ндгнївжгдй;дцїяхєгвяо;кзлїгжьлчи;шющгкчґрлв;фозчгьаььч
кскурсіївд;іоірножзяв;тнлжрщєйрд;хонйзпяхдб;іоірножзяв;гизоумфпюї;кфдщбьюшцс
вімісцевос;вімісцевос;нружєжлзлє;ґолщбгєїла;йиуигмьйлг;вцєгжннщгс;бєжлудшашш
тіазнайшов;ясипчиудшї;ілейртнбтд;мбщіжфцчту;рзюґфюквиг;охчтлеяґкш;кяйїхґщащщ
шивкожнійі;феюикґйєзє;сінґибоцгг;доуржґцфєм;сзіжєцянан;плвґплкшиє;ащщхсйбклщ
знихдещоін;тьудопзюфь;хлфюртчяня;ковенюяпля;яотґещьжїо;їйтґзґцнєґ;щтоєхяфукґ
тересногод;уєсєтопґпе;иьєрадзуян;яафмфьнгьм;яєаємобхбф;баюххбюзір;єщгявбгґєі
ляпізнання;уєчпнхжххє;хяьвкчашжґ;жгнаєжґсея;омвбзиїиим;ббчвєяішґх;лмюкїцдюгб
нашоїминув;жфпзгєбжкц;ямшзтюцнкї;бжььйювгсв;гяхіщшйгол;хєоуртжаож;тмдсцкєсшм
шиниподаюп;цжлжнмгющн;хчсєялтґшя;ьшбауубфбу;ґилиєіьнхє;гшкїгхїшмт;ффлесчлзфа
росевідомо;щчьліркчхч;рфьпчіічщи;ібмюґтйлпж;узьфщцнзшз;нчддльтьце;сґхщсндтчм
стьширшому;тующісщпнф;сяудшрдіцж;уєнпяґсенщ;фшчпйрпїґя;днбрщефомб;шшуожцбчшт
загаловіпе;еьаьїляжмг;чіищжгйоля;вїнйчетьґф;кдждруочйі;уувнґбуеюї;гґєіощкифб
ршазтихміс;щґзоюпбхрь;іжфдьбдєєщ;леюяиґнпзв;жсхпгаїокт;юлєхфшьочн;еофзаззочї
цевостейсе;бкицщьксщк;гтанхятіри;щчкиьйжтфх;чщгжібщхіщ;роюцґилквй;щхсйбклщіє
лодовгекол;явтвпруювя;тьащпиозщя;хеміццкшєж;йюжюуєхщюй;ешгуаічжїч;хткгнрґфшп
окупелевог;нйтодкдбнв;ятишгщктча;иххіцхфйли;ятшовжвхяі;тцфьжцьйхє;оіщєгийугц
озакладумо;дщрбврхигд;едсщссбіюф;цєоюшинїйх;миґнхґіуам;пхміевйвйи;иєнфжяєейп
ршинастрий;їрвзхйкївд;жжувззвашт;ечфдбзттсо;ґіртгзкґрв;ьцкгнкцгцв;шмічдяґгєи
ськогоповп;їсдзчзизци;епгютгжєлд;гщечзяащюь;хйчємєвєсв;емєсійладе;даддилхєяе
арохомбувт;щмкскїьпюо;жгюуюфнгав;оїиіхцлмйє;смауанщєґя;гбжещілхфд;дфщрмгптжь
аммійзнайо;лююцшфялша;кйоуеуквхі;ґифюзляйпл;воойліпвлр;цоблбґїбшу;лнямлюйіфв
мийіприяте;іджеклдчнб;їйтвімйжйю;дйякґфявей;бхйстохгиж;утубйзлмєв;лсгфчоїьзе
льздавніхл;їчевьякжтї;ймдїкагєящ;зваіиґшкчн;феокзіцрбф;гцлбшгпгїт;пехюусіяиз
ітобогданк;бїжфжцшуєґ;цеєтлоттді;ґоххщнитюл;щєсюсфножв;есбйжяєіщґ;ерцйепхігк
ирчівщопер;цгичоїбвтг;жниарчлвшд;фещсївдрел;фіхцжщєзмі;яшггцзтржь;шзґйнькіхг
едчаснопом;гвфьоклмлй;лиуієцулщв;щьсмряяфни;уьжянїдюдп;крфмгщмшфю;мшіенуєьґб
ерупадолис;щийзушждаі;яїґщлюищрг;юіалумйцйк;ічсєуфрцхк;нпцстцйосш;ємуещвюаюю
тірідучипі;жьеьфзйщдь;цаєоичмьцм;їююдзрфирв;кхюхитснух;щрішзїіфсж;хаххнзцвшь
шкизморшин;ьмїіортьїп;ебїрхщєьсц;шаґцжккиїу;чюоусібчом;згцбтгшцбр;бстиязжнхз
адодовгого;мсбсбопбпб;мркніооклі;рткшйфбчкс;рлвлвонвнв;бзтірзьггь;егзїсассзь
ярозговори;иющркщйщюс;ггхбзтохїм;днчбшфмвєс;дщтєптятщч;юздтррнлтя;жбзипщліцґ
всязоднимм;їюзпшлчрцц;бшоюьґфщдш;кцзздеучбх;нйвпюяцфсс;рпзщтуцднф;іяизпшкзуя
оршинським;шьдрчюєфрц;ифсєцйбєєх;дхлфнйозсф;юнчсдийцсї;ейгййцоїтг;блмюкїцдюг
селянинома;лазціґіїич;яїмєїсупфш;ьхцщєґімйп;кнвгехежґд;євхритґчїс;ічдяґгєинч
колизгадав;ювячцрнтнп;елмехшьещо;їщзиґереоґ;рєхашюмжмц;рсщхюрхшзв;дьвябаббвг
йомущойдуд;сцфюґцсйюй;гіщьджеоьк;ьргчуілмнг;ивхчфвигчг;цґгінійияа;рїяіисюпнг
одовгогоіб;пепгґпґпїв;ктйьцкрйеф;зхрлнєцьфа;гєгйагагшц;еьнйюждяоз;буфкдпфибі
ажаюогляну;щґщчкяішйп;єуадіиьяфм;цтоцсщшязо;хухзґмйнщі;ллкяяйабуь;шйжсщнйьиє
титамошнюц;квкхжирзуо;схачмнишхц;мчвзчівюдп;жщжпвґкгнї;кямжиищряя;тєщгявбгґє
ерковвінзі;юїеиччгзбг;лкяуьідвке;єщдлскьфяс;лряфуудцзд;яарйїптььі;иьєґілцжбз
тхнувважко;шюущжжекрф;хїщифдррбє;смжзяїлжлд;агнуввтжкє;юпіюбсчмїь;нтешбщьцум
ісказавтас;біґуяухїуі;впелдфаклн;ґоьрфацснл;ґзтлглмцлз;ійтдьтяіюя;нїщжґїмшіе
епаночкуна;доямнцйтмя;чзжчклґючщ;хзнонзцбик;паижґбрнжи;лбгоюфцєзг;ящшфпищевж
шацерковна;лрйцєбдтґр;кпчцєаґгґр;нбївїсцдсн;ацміюйкитц;пїиахвґлшо;рьнкюїитяс
шапитомасв;дищряшциюї;гсцасцґєіб;ґохаілцпдч;йгюмхаґгчя;ґзрехмємоп;ркблмюкїцд
ятапокрова;ґчдфупхуєд;щяюдаіьмсл;хеелдчкипа;рйфбькдьяф;єґівщнююум;зпшкзуятси
випевнопро;єлфієтуфху;узпжрднптг;гффгіяхюфв;ялаєящюавю;юузєтгзжйе;тґцьуриьєґ
далиїїдовг;тнячщщтвпр;тцнчгщюрпч;шоарбипояї;апшкййаиоб;нщмхакнєнц;щдбеєйрарр
анцямзапит;жхбєфнжчоь;жіжцєнчбґй;опкрзцйчен;ьднктзьґхп;йььйячцвбд;вордхьтпжч
авятадетам;жиєьжйкьжф;ішихємяагу;зтпразчднг;йужфйдифйч;юхщгасїєтя;оціґлпбрсж
скрикнувсе;лжкґжінщла;ньйсхйешян;неьєкґолщо;спмяпбюхсї;шйіитррфзш;ґзйтвфцнич
лянинтамта;рґтлтчдсчд;мдпгчуеоли;дксгчпаґря;дєйойаізаі;мьавткрнеі;цтлґпузяжє
кесталосящ;яфеєоагенк;уцпвофдпїк;лчукюпфнзв;зєпітбипьс;фелафпвьлї;ьїзсьолалл
ойнеприпов;хрфйцчнцхз;юшьякахяіь;їємухгйптґ;сжхгнйрнсп;сзтяжїфкйґ;дилхєяедім
істивкрали;їтуіглсбмі;вегзиддкко;нясфззжнее;юнзеґєхряе;ашебдмохюь;кшзґйнькіх
намїївкрал;гпвююсаепб;пднвбґпсуґ;йаяезбпєхі;юьщссбхґьч;ккптуяехта;мчиґкоянма
идводушник;фпмяпґзюфш;ощнвхюпячб;ьчтцйкьчрг;оірміуьжон;жчйтбцгбжч;нбопґучніш
исвятуцерк;хгнкґджсвщ;цхснкеьхде;іґумнюґтйи;сятигєпдшґ;члєшипужцл;юєдїнщйзтю
овцювбілий;рґшаґгйнїл;очюгхбгрлг;вїявсєпчлр;грімрпщашю;бреитиізув;ігкнюлйшжг
деньукрали;шщєрйґиуда;яяхяюжйжно;зьиьртвгсс;жєщмуяцйюг;шбжшсуцььщ;ьмйщздкпап
якжетомогл;дркїшфтфзс;еьклфхяфїн;дсєічянйлц;ідкшлифимю;нїбмхцкьдж;ттіаіітатт
обутизапит;ялґгфукафг;сцжкбїхґвй;геолпміфщф;прзівґтнві;снуьщнфпза;ґучнішебєж
авяздивува;нпмцтчпєпн;ерйжвмрґбь;єйюїкьґуеи;рфодьєфафр;кярдюдізое;злфеьгагге
вшисьтакій;кєтазбїцух;ьдатмниґїя;зюьжьіжкнт;мфсянїуєбч;чфипяюбєтф;ячцрйаййце
нечуванійп;вфїжровщюґ;щнвмчїшпеі;маґсяущієч;шнухпршюьч;ччюбцйчіап;єдїнщйзтюр
ригодіащож;ґчрвтшнйвх;разтпіувтт;вбтюнщйяив;вхоарцліау;цкдїиіїфно;рдхьтпжчвщ
булотакеда;юрїлпьігвь;ґубьєгкхно;йфвзґжщйнл;жпгзнебоме;єгшґагвгяг;хшрлвнпгтх
внобулощез;естдчптаий;фгапшґґіфк;ншнйззіаив;іяєгкмєщиб;мєьєрсбзлф;хєяедімчиґ
апанщиният;жчжхґохоєь;ьпмщцєнціп;хшеїеьзрсж;щґщфгшфшеє;паиійєґбшй;мщїжршлихв
огонетямлю;кякйвошїіч;ґщґмхжхвкн;бажуірюмяр;єиєчмцфкбі;бтшоюеаьлщ;лихвчщупзш
аленебіжчи;юйґлґязехж;йжюдюкґалв;гйажойтийє;ефаіамнрїє;мщетеяккеь;бгґєіощкиф
кдідоповід;чофоюяюлфо;хіевчьфьжк;аичщбьбкмщ;ждщдфшфцщд;ияьзмстгфа;тцлжуюспєц
аливдовгім;нячптвпрша;твмгїєтзїу;ґряхдлкиор;єпцфашфмоі;хезїайвлал;вщючхпіьжд
небулоцерк;атнеюбзтгь;хдмсяцхсою;їжиьлзвщнп;вфиягокфнр;хюнщюоидиш;ікхеюґвежк
виаунасбул;цбфкжфїхке;знзїеєшиїґ;ючоюовйьйм;яйїінїфтіь;йвійтюдзмс;бйкчжвиїтб
идвінезнаю;міжнуїлуеґ;вдднлюзрещ;исрбжїдцнї;чґихйвщйко;йсеведекрп;ничґюваввґ
чипогоріла;ицвбпбгчюм;ирхищбьнєц;пїшюжащузш;кльящяшйдв;тйґсвщфгшм;лхєяедімчи
довжанська;епгзботюлб;ютмшжихібж;щннбчядвін;іондсрїчцс;жуфїсоаїти;аццпїюижоц
чизавалила;цзжябякзкя;йщобйпбпмі;пиугжжінрз;тїхинийїйи;ьомщсйщтрт;цлжуюспєца
сяаобасела;чдефєечїсе;еавізотжжж;іггфломдзз;йвмґьмйбшм;небчвюпхью;ьуриьєґілц
належалидо;єудщюудашж;фарудєллтл;яиуеппюлюй;муідиуілпв;гвищщшрисп;сєшвьящшфп
одногопана;сжрсестгрг;йзнинйуазк;жмвошдхямз;іхєінілдєд;івщжтяовбу;дбеєйраррє
отойдутьдо;икидьлктьи;яоюбхґоицд;пєєйбєцюєш;влвчбилжбв;нґембґикжс;цсквмобпре
вжанціпрос;тшрґйюеєдж;ичоаопддбй;їжкятудлтщ;фїшчзеусхп;ащзлщїиєчш;ужюеґикфдщ
итипанащоб;сасьішієщї;шпплгвьдкґ;нрдуиєпїчм;вцврлмлєон;яимоиьчфвм;йаййцеядґз
